  G @ 112bpm, mr. scruff - fish
 Em @  98bpm, mother mother - hay loft
 Bm @  91bpm, shad - yaa i get it
 Em @  94bpm, the long winters - fire island, ak
  G @  88bpm, joel plaskett - down at the khyber
 Em @ 100bpm, dj snake & lil jon - turn down for what
 Am @ 109bpm, black eyed peas - shut up
  C @ 122bpm, roosevelt - elliott
 Am @ 109bpm, gesaffelstein - pursuit
 Em @ 111bpm, deadmau5 - seeya
 Am @ 110bpm, rival consoles - helios
  C @ 125bpm, ne-yo - girl let me love you
  F @ 129bpm, prodigy - climbatize
 Dm @ 124bpm, gorillaz - dare
 Gm @ 128bpm, london grammar - hey now (arty remix)
 Cm @ 126bpm, Cedric Gervais - "The Look"
 Fm @ 129bpm, prodigy - narayan
 Ab @ 122bpm, The Magician -- Sunlight Feat. Years & Years
 Fm @ 107bpm, slainte mhath - annie
Bbm @  94bpm, the watchmen - stereo
 Db @  98bpm, dabrye - with a professional
 F# @ 105bpm, the naked and famous - young blood
  B @ 116bpm, blondie - heart of glass
